"Item Code","New Item Code","Item Status","Description","Size","Age","Proof","Bottles

Per Case","Unit Price","Effective Date"
"0103B","99900010375",,"BALVENIE CARIBBEAN CASK 14YR SINGLE MALT","750 ML","14 YRS",86,6,81.95,07/01/2022
"0108B","99900010875",,"WEBFOOT VODKA","750 ML",,80,12,19.95,07/01/2022
"0109B","99900010975",,"SLAPTAIL VODKA","750 ML",,80,12,19.95,07/01/2022
"0129B","99900012975",,"OLD GRAND DAD","750 ML","4 YRS",100,12,24.95,07/01/2022
"0132H","99900013217",,"EZRA BROOKS","1.75 L","4 YRS",90,6,31.95,07/01/2022
"0132B","99900013275",,"EZRA BROOKS","750 ML","4 YRS",90,12,15.95,07/01/2022
"0133H","99900013317",,"JIM BEAM BLACK","1.75 L","8 YRS",86,6,44.95,07/01/2022
"0133B","99900013375",,"JIM BEAM BLACK","750 ML","8 YRS",86,12,24.95,07/01/2022
"0134B","99900013475",,"WILD TURKEY RUSSELL'S RESERVE BOURBON","750 ML","10 YRS",90,6,34.95,07/01/2022
"0136A","99900013610",,"EVAN WILLIAMS BLK LABEL","LITER",,86,12,16.95,07/01/2022
"0136H","99900013617",,"EVAN WILLIAMS BLK LABEL","1.75 L",,86,6,29.95,07/01/2022
"0136E","99900013637",,"EVAN WILLIAMS BLK LABEL","375 ML",,86,24,7.95,07/01/2022
"0136B","99900013675",,"EVAN WILLIAMS BLK LABEL","750 ML",,86,12,14.95,07/01/2022
"0137B","99900013775",,"EVAN WILLIAMS BLACK LABEL","750 ML",,86,12,14.95,07/01/2022
"0138H","99900013817",,"ELIJAH CRAIG SMALL BATCH 94 PROOF","1.75 L","12 YRS",94,6,59.95,07/01/2022
"0138E","99900013837",,"ELIJAH CRAIG SMALL BATCH 94 PROOF","375 ML","12 YRS",94,12,14.95,07/01/2022
"0138B","99900013875",,"ELIJAH CRAIG SMALL BATCH 94 PROOF","750 ML","12 YRS",94,12,28.95,07/01/2022
"0139H","99900013917",,"WOODFORD RESERVE DISTILLER SELECT","1.75 L",,90,6,69.95,07/01/2022
"0139E","99900013937",,"WOODFORD RESERVE DISTILLER SELECT","375 ML",,90,12,18.95,07/01/2022
"0139B","99900013975",,"WOODFORD RESERVE DISTILLER SELECT","750 ML",,90,12,34.95,07/01/2022
"0140F","99900014005",,"JIM BEAM","50 ML","4 YRS",80,120,2.25,07/01/2022
"0140A","99900014010",,"JIM BEAM","LITER","4 YRS",80,12,21.95,07/01/2022
"0140H","99900014017",,"JIM BEAM","1.75 L","4 YRS",80,6,34.95,07/01/2022
"0140D","99900014020",,"JIM BEAM","200 ML","4 YRS",80,48,6.95,07/01/2022
"0140E","99900014037",,"JIM BEAM","375 ML","4 YRS",80,24,11.95,07/01/2022
"0140B","99900014075",,"JIM BEAM","750 ML","4 YRS",80,12,16.95,07/01/2022
"0141B","99900014175",,"JIM BEAM LT. WGT.","750 ML","4 YRS",80,12,16.95,07/01/2022
"0143B","99900014375",,"LUNAZUL ANEJO TEQUILA","750 ML",,80,6,21.95,07/01/2022
"0145B","99900014575",,"HIGH WEST RENDEZVOUS RYE WHISKEY","750 ML",,92,6,69.95,07/01/2022
"0146F","99900014605",,"JACK DANIELS BLACK LABEL","50 ML",,80,120,2.75,07/01/2022
"0146A","99900014610",,"JACK DANIELS BLACK LABEL","LITER",,80,12,27.95,07/01/2022
"0146H","99900014617",,"JACK DANIELS BLACK LABEL","1.75 L",,80,6,49.95,07/01/2022
"0146D","99900014620",,"JACK DANIELS BLACK LABEL","200 ML",,80,48,8.45,07/01/2022
"0146E","99900014637",,"JACK DANIELS BLACK LABEL","375 ML",,80,24,14.95,07/01/2022
"0146B","99900014675",,"JACK DANIELS BLACK LABEL","750 ML",,80,12,22.95,07/01/2022
"0147H","99900014717",,"GEORGE DICKEL #12","1.75 L",,90,6,42.95,07/01/2022
"0147B","99900014775",,"GEORGE DICKEL #12","750 ML",,90,12,22.95,07/01/2022
"0148H","99900014817",,"GENTLEMAN JACK","1.75 L",,80,6,56.95,07/01/2022
"0148E","99900014837",,"GENTLEMAN JACK","375 ML",,80,12,16.95,07/01/2022
"0148B","99900014875",,"GENTLEMAN JACK","750 ML",,80,12,27.95,07/01/2022
"0152H","99900015217",,"OLD CROW","1.75 L","3 YRS",80,6,21.95,07/01/2022
"0152E","99900015237",,"OLD CROW","375 ML","3 YRS",80,24,6.45,07/01/2022
"0152B","99900015275",,"OLD CROW","750 ML","3 YRS",80,12,9.95,07/01/2022
"0153B","99900015375",,"OLD CROW LT. WGT.","750 ML","3 YRS",80,12,9.95,07/01/2022
"0154H","99900015417",,"OLD TAYLOR STRAIGHT BOURBON","1.75 L","6 YRS",80,6,19.95,07/01/2022
"0154B","99900015475",,"OLD TAYLOR STRAIGHT BOURBON","750 ML","6 YRS",80,12,9.95,07/01/2022
"0155H","99900015517",,"ANCIENT AGE","1.75 L",,80,6,25.95,07/01/2022
"0155B","99900015575",,"ANCIENT AGE","750 ML",,80,12,11.95,07/01/2022
"0156H","99900015617",,"EARLY TIMES KENTUCKY","1.75 L",,80,6,23.95,07/01/2022
"0156E","99900015637",,"EARLY TIMES KENTUCKY","375 ML",,80,24,5.95,07/01/2022
"0156B","99900015675",,"EARLY TIMES KENTUCKY","750 ML",,80,12,12.95,07/01/2022
"0158B","99900015875",,"OLD GRAND DAD","750 ML","4 YRS",80,12,19.95,07/01/2022
"0164B","99900016475",,"EVAN WILLIAMS CHERRY RESERVE","750 ML",,70,12,15.95,07/01/2022
"0172B","99900017275",,"MALIBU BLACK COCONUT FLAVORED RUM","750 ML",,70,12,15.95,07/01/2022
"0174H","99900017417",,"BULLEIT 95 RYE STRAIGHT RYE WHISKEY","1.75 L",,90,6,58.95,07/01/2022
"0174E","99900017437",,"BULLEIT 95 RYE STRAIGHT RYE WHISKEY","375 ML",,90,12,14.95,07/01/2022
"0174B","99900017475",,"BULLEIT 95 RYE STRAIGHT RYE WHISKEY","750 ML",,90,12,29.95,07/01/2022
"0184H","99900018417",,"HENRY MCKENNA","1.75 L",,80,6,24.95,07/01/2022
"0184B","99900018475",,"HENRY MCKENNA","750 ML",,80,12,13.95,07/01/2022
"0186H","99900018617",,"JOSE CUERVO WATERMELON MARGARITA","1.75 L",,20,6,17.95,07/01/2022
"0187H","99900018717",,"CUERVO AUTHENTIC LIGHT LIME MARGARITA","1.75 L",,20,6,15.95,07/01/2022
"0189F","99900018905",,"OLD FORESTER","50 ML",,86,120,1.75,07/01/2022
"0189H","99900018917",,"OLD FORESTER","1.75 L",,86,6,38.95,07/01/2022
"0189B","99900018975",,"OLD FORESTER","750 ML",,86,12,22.95,07/01/2022
"0191B","99900019175",,"STAGG JR. KENTUCKY STRAIGHT BOURBON","750 ML",,129,6,49.95,07/01/2022
"0193H","99900019317",,"TEN HIGH","1.75 L",,80,6,19.95,07/01/2022
"0193B","99900019375",,"TEN HIGH","750 ML",,80,12,8.95,07/01/2022
"0196H","99900019617","@","WILD TURKEY 81","1.75 L",,81,6,44.95,07/01/2022
"0196B","99900019675",,"WILD TURKEY 81","750 ML",,81,12,24.95,07/01/2022
"0199B","99900019975",,"GEORGE DICKEL #8","750 ML",,80,12,19.95,07/01/2022
"0207B","99900020775","@","SEAGRAM'S PLATINUM SELECT VODKA","750 ML",,100,12,10.95,07/01/2022
"0212B","99900021275",,"OLD OVERHOLT","750 ML","4 YRS",80,12,19.95,07/01/2022
"0214B","99900021475","@","EL TEQUILENO PLATINUM BLANCO TEQUILA","750 ML",,80,6,50.15,07/01/2022
"0215B","99900021575","@","EL TEQUILENO GRAN RES REPOSADO","750 ML",,80,6,53.15,07/01/2022
"0216B","99900021675","$","AVIATION GIN GIFT","750 ML",,84,6,24.95,07/01/2022
"0221H","99900022117",,"POTTERS SPECIAL","1.75 L",,80,6,17.95,07/01/2022
"0221E","99900022137",,"POTTERS SPECIAL","375 ML",,80,24,4.95,07/01/2022
"0221B","99900022175",,"POTTERS SPECIAL","750 ML",,80,12,8.95,07/01/2022
"0223H","99900022317",,"BEAMS 8 STAR","1.75 L",,80,6,17.95,07/01/2022
"0223E","99900022337",,"BEAMS 8 STAR","375 ML",,80,24,4.95,07/01/2022
"0223B","99900022375",,"BEAMS 8 STAR","750 ML",,80,12,8.95,07/01/2022
"0225H","99900022517",,"KESSLER","1.75 L",,80,6,19.95,07/01/2022
"0225B","99900022575",,"KESSLER","750 ML",,80,12,9.95,07/01/2022
"0226H","99900022617",,"MCCORMICK BLEND","1.75 L",,80,6,18.45,07/01/2022
"0226E","99900022637",,"MCCORMICK BLEND","375 ML",,80,24,4.95,07/01/2022
"0226B","99900022675",,"MCCORMICK BLEND","750 ML",,80,12,8.95,07/01/2022
"0231B","99900023175",,"MONARCH RESERVE","750 ML",,80,12,8.95,07/01/2022
"0241B","99900024175",,"STEIN SEVEN DEVILS MICRO-DISTILLED RUM","750 ML",,80,12,21.95,07/01/2022
"0244B","99900024475",,"PENDLETON 1910 RYE WHISKEY","750 ML","12 YRS",80,6,39.95,07/01/2022
"0252H","99900025217",,"CANADIAN RICH AND RARE RESERVE","1.75 L",,80,6,21.95,07/01/2022
"0252B","99900025275",,"CANADIAN RICH AND RARE RESERVE","750 ML",,80,12,14.95,07/01/2022
"0258E","99900025837",,"SINGLE OAK PROJECT KENTUCKY STRAIGHT","375 ML",,90,12,57.45,07/01/2022
"0260B","99900026075",,"CRUZAN STRAWBERRY","750 ML",,42,12,13.95,07/01/2022
"0263B","99900026375",,"SEAGRAM'S SEVEN CROWN LT. WGT.","750 ML",,80,12,12.95,07/01/2022
