"Oregon Liquor & Cannabis Commission Price Changes - Effective July 01, 2022"
"NOTE","ITEM CODE","NEW ITEM CODE","STATUS CODE","BOTTLE PRICE","CASE PRICE","DESCRIPTION","PRICE CHANGE"
,"0133H","99900013317","R",44.95,$269.70,"JIM BEAM BLACK LABEL",7.00
,"0138H","99900013817","R",59.95,$359.70,"ELIJAH CRAIG S/B 94 PROOF",5.00
"%","0140B","99900014075","R",16.95,$203.40,"JIM BEAM",2.00-
"%","0141B","99900014175","R",16.95,$203.40,"JIM BEAM LT. WGT.",2.00-
,"0164B","99900016475","R",15.95,$191.40,"EVAN WILLIAMS CHERRY RESER",3.00
"#","0213B","99900021375","D",77.95,$467.70,"COMPASS BOX OAK CROSS WHIS",2.00-
,"0244B","99900024475","R",39.95,$239.70,"PENDLETON 1910 RYE WHISKEY",3.00
,"0365B","99900036575","R",17.95,$215.40,"WM. GRANT'S BLENDED SCOTCH",2.00
,"0376B","99900037675","R",52.95,$635.40,"THE GLENLIVET 12 YEAR",5.00
,"0390H","99900039017","R",53.95,$323.70,"BUSHMILLS IRISH WHISKEY",5.00
,"0391B","99900039175","R",30.95,$371.40,"JAMESON IRISH WHISKEY",3.00
,"0392B","99900039275","R",77.95,$935.40,"GLENFIDDICH 15YR SOLERA",8.00
,"0394B","99900039475","R",29.95,$359.40,"TULLAMORE DEW",3.00
,"0426B","99900042675","R",36.95,$221.70,"KNOB CREEK SMOKED MAPLE",5.00
"#","0613F","99900061305","D",2.25,$135.00,"YAZI GINGER VODKA",0.00
"%","0659B","99900065975","R",14.95,$179.40,"MONOPOLOWA POTATO VODKA",2.00-
,"0675B","99900067575","R",16.95,$203.40,"SKYY VODKA",2.00
,"0688B","99900068875","R",16.95,$203.40,"LUKSUSOWA VODKA",2.00
,"0809B","99900080975","R",35.95,$431.40,"CIROC PEACH VODKA",6.00
"#","0820B","99900082075","D",9.95,$119.40,"ADMIRAL NELSON CHERRY SPIC",0.00
,"0882B","99900088275","R",38.95,$233.70,"1800 ANEJO TEQUILA",4.00
,"0907H","99900090717","R",45.95,$275.70,"JOSE CUERVO TRAD. GOLD",4.00
,"0918H","99900091817","R",42.95,$257.70,"KAHLUA COFFEE LIQUEUR",4.00
,"0918B","99900091875","R",24.95,$299.40,"KAHLUA COFFEE LIQUEUR",5.00
,"0932B","99900093275","R",24.95,$299.40,"KAHLUA ESPECIAL",5.00
,"0939B","99900093975","R",16.95,$203.40,"FIREBALL CINNAMON PET",3.00
,"0941H","99900094117","R",35.95,$215.70,"YUKON JACK",4.00
"%","0959B","99900095975","R",29.95,$359.40,"DISARONNO AMARETTO",2.50-
"#","1045A","99900104510","D",5.95,$71.40,"BOLS TRIPLE SEC",0.00
,"1061B","99900106175","R",18.95,$227.40,"GRAND MONARCH",1.00
,"1078B","99900107875","R",15.95,$191.40,"EVAN WILLIAMS FIRE",3.00
,"1159B","99900115975","R",36.95,$221.70,"KNOB CREEK RYE",5.00
,"1165B","99900116575","S",79.95,$479.70,"AMRUT SINGLE MALT",9.00
,"1166B","99900116675","S",114.95,$689.70,"AMRUT SINGLE MALT CASK STR",14.00
,"1167B","99900116775","S",99.95,$599.70,"AMRUT FUSION SINGLE MALT",10.00
"#","1169B","99900116975","D",24.95,$149.70,"DON Q RESERVA 7",0.00
,"1307H","99900130717","R",27.95,$167.70,"PORTLAND POTATO VODKA",2.00-
,"1307E","99900130737","T",10.45,$250.80,"PORTLAND POTATO VODKA",2.50
"#","1380B","99900138075","S",8.95,$107.40,"MR. BOSTON ENGLISH MARKET",0.00
"#","1381B","99900138175","S",4.40,$52.80,"MR. BOSTON TRIPLE SEC",0.00
